date,state,positive,probableCases,negative,pending,totalTestResultsSource,totalTestResults,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,hospitalizedDischarged,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResultsIncrease,posNeg,dataQualityGrade,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20210224,AK,55736,,,,totalTestsViral,1662156,46.0,1260.0,,,4.0,,,2/24/2021 03:59,2021-02-24T03:59:00Z,02/23 22:59,290,1260.0,,2021-02-24T03:59:00Z,1662156.0,67232.0,1592879.0,,,,,,,,,,,,,,,,2,176,0,55736,8731,55736,,0,0,67b3b6ca1627ea40d08871803b2659b08b55daae,0,0,0,0,0,
20210224,AL,490220,106338.0,1885151.0,,totalTestsPeopleViral,2269033,773.0,45250.0,,2641.0,,1500.0,275245.0,2/24/2021 11:00,2021-02-24T11:00:00Z,02/24 06:00,9744,45250.0,,2021-02-24T11:00:00Z,,,,383882.0,7643.0,2101.0,,2269033.0,,,,115627.0,,,,,,,1,1247,2971,2375371,3947,2375371,,84,0,676bdea053983e254017ca1a5c4545ebe6b40100,0,0,0,0,0,
20210224,AR,317396,66671.0,2367951.0,,totalTestsViral,2618676,545.0,14649.0,204.0,,99.0,1509.0,307306.0,2/24/2021 00:00,2021-02-24T00:00:00Z,02/23 19:00,5387,14649.0,,2021-02-24T00:00:00Z,2618676.0,,2367951.0,250725.0,4330.0,1057.0,,,,,,,,,439073.0,78202.0,,,5,803,8380,2685347,8839,2685347,,10,32,2db69acfbfe82aa932fd048848b370f4d670e601,0,0,0,0,0,
20210224,AS,0,,2140.0,,totalTestsViral,2140,,,,,,,,12/1/2020 00:00,2020-12-01T00:00:00Z,11/30 19:00,0,,,2020-12-01T00:00:00Z,2140.0,,,,,,,,,,,,,,,,,,60,0,0,2140,0,2140,,0,0,f43db694c3c66828b057fcd5303d23ff2014fad3,0,0,0,0,0,
20210224,AZ,811968,54615.0,2960197.0,,totalTestsViral,7512395,1449.0,57156.0,430.0,,253.0,,,2/24/2021 00:00,2021-02-24T00:00:00Z,02/23 19:00,15693,57156.0,115531.0,2021-02-24T00:00:00Z,7512395.0,,,757353.0,13846.0,1847.0,,3717550.0,435519.0,,,,,,,,,,4,1310,6987,3772165,34072,3772165,,43,84,66eb7b9f8629ac10b33a2ddb54fadd311466dd44,0,0,0,0,0,
20210224,CA,3455361,,,,totalTestsViral,47652172,6764.0,,1842.0,,,,,2/24/2021 02:59,2021-02-24T02:59:00Z,02/23 21:59,49877,,,2021-02-24T02:59:00Z,47652172.0,,,3455361.0,,,,,,,,,,,,,,,6,5303,0,3455361,138805,3455361,,314,0,73cbf2d1ea6a9377fc80bad073db69cfc87adb38,0,0,0,0,0,
20210224,CO,423558,23002.0,2149917.0,,totalTestEncountersViral,6080273,427.0,23349.0,,,,,,2/24/2021 01:59,2021-02-24T01:59:00Z,02/23 20:59,5917,23349.0,22473.0,2021-02-24T01:59:00Z,,,,400556.0,5185.0,732.0,6080273.0,2550473.0,407672.0,55797.0,338578.0,,,,,,,,8,1168,6888,2573475,36690,2573475,,10,56,fed32c2407fd9bb049293894590d501160cdf06c,0,0,0,0,0,
20210224,CT,278184,18584.0,,,totalTestsViral,6227431,495.0,12257.0,,,,,,2/23/2021 23:59,2021-02-23T23:59:00Z,02/23 18:59,7595,12257.0,,2021-02-23T23:59:00Z,6227431.0,315971.0,5903519.0,259600.0,6230.0,1365.0,,,,,,,,,,,362250.0,20801.0,9,1493,0,278184,28724,278184,,23,0,4f5151c89fba8c04fff802fafb839ed51d90fde1,0,0,0,0,0,
20210224,DC,39943,,,,totalTestEncountersViral,1204605,211.0,,57.0,,31.0,,28532.0,2/23/2021 00:00,2021-02-23T00:00:00Z,02/22 19:00,1001,,,2021-02-23T00:00:00Z,,,,,,,1204605.0,431248.0,,,,,,,,,,,11,99,0,39943,3000,39943,,3,0,ffa9847c58964ef84776090f728ca4890320369b,0,0,0,0,0,
20210224,DE,85506,4515.0,533904.0,,totalTestEncountersViral,1368734,182.0,,27.0,,,,,2/23/2021 18:00,2021-02-23T18:00:00Z,02/23 13:00,1402,,,2021-02-23T18:00:00Z,,89126.0,,80991.0,1269.0,133.0,1368734.0,619410.0,,,,,,,,,,,10,278,1231,619410,5059,619410,,23,0,fc43ea23c4303a5eaaedc86de2f02d3ed7defd03,0,0,0,0,0,
